おはよう
こんばんわ
こんにちわ
お疲れ様
元気?
今仕事が忙しいから大変だよ
何か用?
最近会わないから会いたくなっちゃった
久しぶり!今は何をやっているの?
仕事?
そうだよ!
やったぞ
悪くはないね
昨日言ったと思うけど
僕は知ってたよ
うい
やるね
これでどうだ
危ない
焦るわ
めっちゃ面白い
ほうほうこんにちは
こんにちは
ちょっとお話しようよ
何を知っていたの?
今はプログラミングの勉強をしているよ
聞いてた？
こんにちは
やったね
やったね
面白いねこんにちは!
今日はジャンプ買ったけど、めちゃくちゃ面白かったで
うん。めちゃくちゃよかった
怖いこと言わないで？
え、まじ怖いわ
え、殺したの?
こんにちは
こんにちは
何を?
ヤッホー
ヤッホー
いいじゃん別に
でしょ？
こんにちは
お疲れ様
いいね
やるか？
やるね
参りました
せやろ
